ACQUISITION TIME,MEAN TEMPERATURE
2000-02-01,282.3079833984375
2000-03-01,279.12664794921875
2000-04-01,297.4333190917969
2000-05-01,300.95330810546875
2000-06-01,303.7599792480469
2000-07-01,296.7986145019531
2000-08-01,299.13067626953125
2000-09-01,291.5320129394531
2000-10-01,289.4319763183594
2000-11-01,280.8572998046875
2000-12-01,276.43600463867193
2001-01-01,273.3253173828125
2001-02-01,274.78131103515625
2001-03-01,280.8466796875
2001-04-01,293.0133361816406
2001-05-01,298.5626525878906
2001-06-01,293.60931396484375
2001-07-01,301.83062744140625
2001-08-01,300.5786437988281
2001-09-01,289.86663818359375
2001-10-01,285.96002197265625
2001-11-01,277.43734741210943
2001-12-01,266.23464965820307
2002-01-01,272.9266357421875
2002-02-01,278.20132446289057
2002-03-01,284.5719909667969
2002-04-01,289.9146423339844
2002-05-01,300.8893127441406
2002-06-01,300.31463623046875
2002-07-01,303.361328125
2002-08-01,302.2760314941406
2002-09-01,295.4693298339844
2002-10-01,284.9133605957031
2002-11-01,278.27066040039057
2002-12-01,263.5746459960937
2003-01-01,267.982666015625
2003-02-01,269.69064331054693
2003-03-01,282.2906494140625
2003-04-01,292.2933349609375
2003-05-01,299.5706481933594
2003-06-01,301.77996826171875
2003-07-01,302.4613037109375
2003-08-01,299.9120178222656
2003-09-01,293.4667053222656
2003-10-01,280.11331176757807
2003-11-01,280.3546142578125
2003-12-01,274.77468872070307
2004-01-01,265.68667602539057
2004-02-01,270.83999633789057
2004-03-01,280.22265625
2004-04-01,291.7613220214844
2004-05-01,294.5986328125
2004-06-01,296.7986755371094
2004-07-01,298.9639587402344
2004-08-01,300.21197509765625
2004-09-01,294.6360168457031
2004-10-01,287.2106628417969
2004-11-01,277.3946533203125
2004-12-01,275.15249633789057
2005-01-01,275.5159912109375
2005-02-01,267.8666381835937
2005-03-01,279.5746459960937
2005-04-01,291.8586730957031
2005-05-01,298.7706604003906
2005-06-01,300.47467041015625
2005-07-01,303.5266418457031
2005-08-01,300.6666259765625
2005-09-01,297.6693420410156
2005-10-01,287.6879577636719
2005-11-01,278.18930053710943
2005-12-01,-1.0
2006-01-01,259.4959716796875
2006-02-01,268.27865600585943
2006-03-01,275.7333374023437
2006-04-01,290.96533203125
2006-05-01,296.8880310058594
2006-06-01,300.9493103027344
2006-07-01,306.4613342285156
2006-08-01,297.0866394042969
2006-09-01,295.6600036621094
2006-10-01,286.1959533691406
2006-11-01,281.29464721679693
2006-12-01,278.21197509765625
2007-01-01,274.2786865234375
2007-02-01,271.89199829101557
2007-03-01,287.7173156738281
2007-04-01,292.6373291015625
2007-05-01,299.6653137207031
2007-06-01,301.5199890136719
2007-07-01,303.81866455078125
2007-08-01,298.9466857910156
2007-09-01,291.88531494140625
2007-10-01,285.9293212890625
2007-11-01,276.3826904296875
2007-12-01,-1.0
2008-01-01,273.55599975585943
2008-02-01,276.48797607421875
2008-03-01,282.6133117675781
2008-04-01,291.7106628417969
2008-05-01,296.2253112792969
2008-06-01,301.6653137207031
2008-07-01,301.2613220214844
2008-08-01,299.1466369628906
2008-09-01,294.55328369140625
2008-10-01,286.7959899902344
2008-11-01,280.41329956054693
2008-12-01,277.52667236328125
2009-01-01,264.95733642578125
2009-02-01,272.89065551757807
2009-03-01,281.6919860839844
2009-04-01,294.4639892578125
2009-05-01,297.6693420410156
2009-06-01,296.7947082519531
2009-07-01,299.3212890625
2009-08-01,298.35198974609375
2009-09-01,294.7733459472656
2009-10-01,283.09600830078125
2009-11-01,278.38134765625
2009-12-01,274.4306640625
2010-01-01,258.38265991210943
2010-02-01,271.90264892578125
2010-03-01,279.38134765625
2010-04-01,291.30401611328125
2010-05-01,295.00799560546875
2010-06-01,300.3986511230469
2010-07-01,305.2786560058594
2010-08-01,299.638671875
2010-09-01,291.49200439453125
2010-10-01,284.2066650390625
2010-11-01,281.18264770507807
2010-12-01,263.48931884765625
2011-01-01,267.08499145507807
2011-02-01,267.97067260742193
2011-03-01,281.61468505859375
2011-04-01,293.85467529296875
2011-05-01,298.5666198730469
2011-06-01,301.47601318359375
2011-07-01,299.7760009765625
2011-08-01,297.69464111328125
2011-09-01,294.6226501464844
2011-10-01,286.4773254394531
2011-11-01,279.9320068359375
2011-12-01,-1.0
2012-01-01,265.28933715820307
2012-02-01,264.77200317382807
2012-03-01,284.2560119628906
2012-04-01,292.6946716308594
2012-05-01,299.71466064453125
2012-06-01,300.1519775390625
2012-07-01,303.0306396484375
2012-08-01,299.99066162109375
2012-09-01,293.7253112792969
2012-10-01,285.3599548339844
2012-11-01,282.2733154296875
2012-12-01,270.6199951171875
2013-01-01,264.93197631835943
2013-02-01,272.60397338867193
2013-03-01,275.7933349609375
2013-04-01,291.3999938964844
2013-05-01,299.1946716308594
2013-06-01,301.4106750488281
2013-07-01,301.73199462890625
2013-08-01,300.54931640625
2013-09-01,291.31201171875
2013-10-01,286.2426452636719
2013-11-01,278.2133178710937
2013-12-01,271.56930541992193
2014-01-01,269.0253295898437
2014-02-01,277.3253173828125
2014-03-01,288.0173034667969
2014-04-01,292.6426696777344
2014-05-01,297.8626403808594
2014-06-01,298.59600830078125
2014-07-01,302.47601318359375
2014-08-01,299.1253356933594
2014-09-01,294.5560302734375
2014-10-01,287.6693115234375
2014-11-01,281.7893371582031
2014-12-01,273.52001953125
2015-01-01,274.11196899414057
2015-02-01,275.66934204101557
2015-03-01,286.7213134765625
2015-04-01,291.9613342285156
2015-05-01,294.0279541015625
2015-06-01,301.5893249511719
2015-07-01,303.5639953613281
2015-08-01,305.4200134277344
2015-09-01,295.1119689941406
2015-10-01,284.6173095703125
2015-11-01,278.82931518554693
2015-12-01,279.63601684570307
2016-01-01,267.64532470703125
2016-02-01,277.86666870117193
2016-03-01,284.50933837890625
2016-04-01,291.37200927734375
2016-05-01,298.6159973144531
2016-06-01,302.0879821777344
2016-07-01,300.9106750488281
2016-08-01,299.3213195800781
2016-09-01,297.81463623046875
2016-10-01,285.70001220703125
2016-11-01,278.72000122070307
2016-12-01,271.85464477539057
2017-01-01,268.31063842773443
2017-02-01,271.56668090820307
2017-03-01,286.9639587402344
2017-04-01,289.41998291015625
2017-05-01,297.2413330078125
2017-06-01,299.7279968261719
2017-07-01,299.12799072265625
2017-08-01,300.25732421875
2017-09-01,290.42132568359375
2017-10-01,289.12799072265625
2017-11-01,279.24801635742193
2017-12-01,-1.0
2018-01-01,273.70001220703125
2018-02-01,272.47335815429693
